,Tweet, No. Likes,Time,No. Retweets
41,"اسوء تطبيق واسوء خدمة عملاء 

لي اسبوع احاول اتواصل معهم ولا احد يرد علي، لا على الرقم ولا على تويتر 
 
@stcpay_ksa",0,2022-02-20 11:02:18+00:00,0
42,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:57:36+00:00,105
43,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:42:09+00:00,105
44,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:17:34+00:00,105
45,"@stcpay_ksa لو سمحتوا ما يصير الاستغفال هذا 
ترجعون التطبيق ونفس المشكله المبلغ غير موجود في المحفظه ( خمسة آلاف ) 

خدمة عملاء محد يرد ؟! تطبيق برضو محد يرد 

للأسف بنكمل أسبوع على هالحاله",1,2022-02-20 07:32:29+00:00,1
46,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 07:20:43+00:00,105
47,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 06:55:21+00:00,105
48,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 06:39:10+00:00,105
49,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 06:00:46+00:00,105
50,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 05:51:34+00:00,105
51,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 05:02:20+00:00,105
52,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 04:28:09+00:00,105
53,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 03:50:22+00:00,105
54,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 03:32:38+00:00,105
55,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 02:10:17+00:00,105
56,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 01:43:19+00:00,105
57,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 00:05:51+00:00,105
58,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 22:56:07+00:00,105
59,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 22:52:28+00:00,105
60,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 22:10:08+00:00,105
61,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 20:44:45+00:00,105
62,@stcpay_ksa حاولت اصدر بطاقة مدى ويعطيني خطأ ويخصم علي وما تتم العميلة ونفس الشئ خدمة جوي للانترنت خصم ومع انه معطيني خطأ والعملية ما اكتملت ، والدعم الفني ما يرد لا مكالمه ولا تطبيق . https://t.co/OvUyQxipqC,0,2022-02-19 20:37:46+00:00,0
63,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 20:13:29+00:00,105
64,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 20:08:35+00:00,105
65,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 20:01:17+00:00,105
66,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 20:00:54+00:00,105
67,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 19:38:09+00:00,105
68,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 19:17:36+00:00,105
69,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 19:03:03+00:00,105
70,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 18:48:32+00:00,105
71,@stcpay_ksa افضل و احسن و اسهل تطبيق تعامل ممتاز و خدمة رائعه🤗,0,2022-02-19 18:40:12+00:00,0
72,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 18:39:01+00:00,105
73,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-19 18:34:31+00:00,105
